,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
216,Eagle Rock,70,Contreras,16,W,3/21,2:30p,Contreras High School,1750 Yosemite Dr Los,Angeles,CA,90041,Los Angeles,CA
217,Eastside,66,Antelope Valley,25,W,3/14,3:30p,Eastside High School,3200 E Ave J-8,Lancaster,CA,93535,Lancaster,CA
218,Godinez Fundamental,47,La Quinta,123,L,3/9,3:00p,La Quinta High School,3002 Centennial Rd Santa,Ana,CA,92704,Westminster,CA
219,Godinez Fundamental,59,Rancho Alamitos,118,L,4/13,3:15p,Rancho Alamitos High School,3002 Centennial Rd Santa,Ana,CA,92704,Garden Grove,CA
220,Godinez Fundamental,40,Laguna Beach,126,L,4/18,3:00p,Godinez Fundamental High School,3002 Centennial Rd Santa,Ana,CA,92704,Laguna Beach,CA
221,Godinez Fundamental,49,Costa Mesa,117,L,4/25,3:00p,Costa Mesa High School,3002 Centennial Rd Santa,Ana,CA,92704,Costa Mesa,CA
222,Hamilton,53,University,85,L,4/11,3:00p,Hamilton High School,2955 S Robertson Blvd Los,Angeles,CA,90034,Los Angeles,CA
223,Hoover,0,Yosemite,0,T,3/13,4:00p,Hoover High School,5550 N First St,Fresno,CA,93710,Oakhurst,CA
224,Kearny,48,Canyon Hills,115,L,4/4,3:00p,Canyon Hills High School,1954 Komet Way San,Diego,CA,92111,San Diego,CA
225,Knight,133,Antelope Valley,11,W,4/25,3:30p,Knight High School,37423 70Th St E,Palmdale,CA,93552,Lancaster,CA
226,Lancaster,128,Antelope Valley,13,W,4/19,3:30p,Antelope Valley High School,44701 32Nd St W,Lancaster,CA,93536,Lancaster,CA
227,Marshall,98,Contreras,40,W,4/4,2:30p,Marshall High School,3939 Tracy St Los,Angeles,CA,90027,Los Angeles,CA
228,Mission Bay,44,Canyon Hills,121,L,3/6,3:00p,Canyon Hills High School,2475 Grand Ave San,Diego,CA,92109,San Diego,CA
229,Ocean View,69,La Quinta,100,L,3/7,3:00p,Ocean View High School,17071 Gothard St Huntington,Beach,CA,92647,Westminster,CA
230,Olympian,67,Otay Ranch,106,L,3/8,7:00p,Otay Ranch High School,1925 Magdalena Ave Chula,Vista,CA,91913,Chula Vista,CA
